"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @Jason_Sheff: The Lib Dems launch the #LibDemManifesto, you know, that thing they'll completely abandon if they get a chance to shack up…"|FALSE|0|NA|2017-05-17 17:08:14|FALSE|NA|"864890313470615552"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Pat_167"|22|TRUE|FALSE|NA|NA
"Farron you are so weak you are unelectable..Cameron couldn't get a renegotiation and the EU would eat you with a cr… https://t.co/Qqh1TpjOQG"|FALSE|1|NA|2017-05-17 17:08:11|TRUE|NA|"864890302783524865"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"MrCoxsure"|0|FALSE|FALSE|NA|NA
"RT @thinkRCG: UK #GE2017 #LibDemManifesto: Pledge to pass Zero-Carbon Britain Act; binding targets to reduce net greenhouse gas emissions b…"|FALSE|0|NA|2017-05-17 17:08:11|FALSE|NA|"864890300673687552"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"sebchivers"|2|TRUE|FALSE|NA|NA
"RT @WillBlackWriter: Lib Dems are a modern fairy tale about the dangers of getting into bed with the wrong person.    #LibDemManifesto"|FALSE|0|NA|2017-05-17 17:08:11|FALSE|NA|"864890300279525376"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"jeanid123"|65|TRUE|FALSE|NA|NA
"RT @mtavp: A once in a life time opportunity. We had it. You lost. Stop whining. You are embarrassing yourself. #LibDemManifesto https://t.…"|FALSE|0|NA|2017-05-17 17:08:11|FALSE|NA|"864890299851710464"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"philrees2010"|8|TRUE|FALSE|NA|NA
"RT @thinkRCG: UK #GE2017 #LibDemManifesto: Pledge to restore government support for #solar PV and #onshorewind in appropriate locations (le…"|FALSE|0|NA|2017-05-17 17:08:07|FALSE|NA|"864890287029710850"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"sebchivers"|1|TRUE|FALSE|NA|NA
"RT @Femi_Sorry: #LibDemManifesto promises you a choice on the Brexit deal. Why? You were told we'd keep single market access. Wrong https:/…"|FALSE|0|NA|2017-05-17 17:08:04|FALSE|NA|"864890274153103362"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"txmelessandy13"|15|TRUE|FALSE|NA|NA
"RT @Callum871: found leaked footage of Tim Farron's first time doing a weed #LibDemManifesto. https://t.co/aY13UAs334"|FALSE|0|NA|2017-05-17 17:08:04|FALSE|NA|"864890270785122308"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ForeverHonest61"|1|TRUE|FALSE|NA|NA
"RT @HughRBennett: This is downright dishonesty from the @LibDems. UK law grants 52 weeks maternity leave. EU statutory minimum is 14 weeks.…"|FALSE|0|NA|2017-05-17 17:08:00|FALSE|NA|"864890255220068353"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"PhilArnold4"|1059|TRUE|FALSE|NA|NA
"RT @WillBlackWriter: Lib Dems are a modern fairy tale about the dangers of getting into bed with the wrong person.    #LibDemManifesto"|FALSE|0|NA|2017-05-17 17:07:57|FALSE|NA|"864890242029035522"|NA|"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>"|"BeyondChains"|65|TRUE|FALSE|NA|NA
