"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"RT @mrpaulaitken: Once again people from all over the UK praise @NicolaSturgeon during #LeadersDebate #GE17 #VoteSNP https://t.co/RixXL10MSO"|FALSE|0|NA|2017-05-20 01:03:05|FALSE|NA|"865734589792350210"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"SylviaT97783077"|212|TRUE|FALSE|NA|NA
"RT @Mancman10: Paul Nuttall wells up as he recalls surviving the Gunfight At The O.K Corrall in Tombstone, Arizona 1881 #ITVDebate #Leaders…"|FALSE|0|NA|2017-05-20 01:02:22|FALSE|NA|"865734410875940865"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"WombatDubmaster"|217|TRUE|FALSE|NA|NA
"RT @MoneySavingExp: Martin Lewis shares some #MoneySaving reasons why you should #RegisterToVote by Mon 22 May https://t.co/hlHetzwxyt #Lea…"|FALSE|0|NA|2017-05-20 01:00:08|FALSE|NA|"865733847123709952"|NA|"<a href=\"http://www.livewebsitehosting.com\" rel=\"nofollow\">lachotadebts</a>"|"Housing_Finance"|49|TRUE|FALSE|NA|NA
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:59:43|FALSE|NA|"865733741754236929"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"amagickeagle999"|151|TRUE|FALSE|NA|NA
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:58:59|FALSE|NA|"865733558001954816"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"LondonEconomic"|151|TRUE|FALSE|NA|NA
"RT @JaneyGodley: . @NicolaSturgeon watches him say \"I WAS AT THE MOON LANDINGS\" #paulnuttall it's here #LeadersDebate #janeygodleyvoiceover…"|FALSE|0|NA|2017-05-20 00:57:30|FALSE|NA|"865733186755624966"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"haggisnwhisky"|151|TRUE|FALSE|NA|NA
"RT @mrpaulaitken: Once again people from all over the UK praise @NicolaSturgeon during #LeadersDebate #GE17 #VoteSNP https://t.co/RixXL10MSO"|FALSE|0|NA|2017-05-20 00:48:06|FALSE|NA|"865730820996292608"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"emmemmseesee"|212|TRUE|FALSE|NA|NA
"RT @TheLastLeg: \"They clearly didn't get our leak.\" Crashing the #LeadersDebate - almost! <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #thelastleg https://t.co/Pfi2wNv9kC"|FALSE|0|NA|2017-05-20 00:44:51|FALSE|NA|"865730001680957440"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"elisejohno"|43|TRUE|FALSE|NA|NA
"RT @Mancman10: Paul Nuttall wells up as he recalls surviving the Gunfight At The O.K Corrall in Tombstone, Arizona 1881 #ITVDebate #Leaders…"|FALSE|0|NA|2017-05-20 00:43:55|FALSE|NA|"865729767936544769"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"themassesrise"|217|TRUE|FALSE|NA|NA
"RT @eduardo_LACS: One of the most popular policies in Britain today. Will it be feature on #ITVDebate #LeadersDebate ? RT if you want a cru…"|FALSE|0|NA|2017-05-20 00:38:02|FALSE|NA|"865728284818014208"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"Vandnashailesh"|369|TRUE|FALSE|NA|NA
"RT @Colm_Cosgrove: #LeadersDebate @NicolaSturgeon is in a league of her own. Scotland has become a very attractive option for young healthc…"|FALSE|0|NA|2017-05-20 00:36:46|FALSE|NA|"865727965967126528"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Salbostino"|515|TRUE|FALSE|NA|NA
"RT @Jamin2g: They're literally laughing at him.  #LeadersDebate #ITVdebate #GE2017 https://t.co/IgyUSoqv4h"|FALSE|0|NA|2017-05-20 00:36:30|FALSE|NA|"865727900477206528"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"mku77"|1519|TRUE|FALSE|NA|NA
"RT @alexnunns: There are only 5 days left. Register to vote ffs. https://t.co/LlV2dG1ARm #LeadersDebate #GE2017 https://t.co/AXulsLgmjf"|FALSE|0|NA|2017-05-20 00:36:28|FALSE|NA|"865727890171863040"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"dizzychronicles"|81|TRUE|FALSE|NA|NA
